Data,Quantidade Produzida,Quantidade de Maquinas,Quantidade de Trabalhadores,Horas Trabalhadas,Feriado
01/01/2023,6285,11,12,6,1
02/01/2023,9482,8,23,11,0
03/01/2023,10548,15,22,10,0
04/01/2023,10990,12,27,11,0
05/01/2023,8763,9,26,7,0
06/01/2023,9613,11,24,9,0
07/01/2023,10207,14,21,10,0
08/01/2023,9057,7,23,10,0
09/01/2023,9198,11,18,10,0
10/01/2023,11983,15,27,12,0
11/01/2023,9768,15,18,10,0
12/01/2023,9228,12,15,11,0
13/01/2023,9093,9,22,10,0
14/01/2023,9342,8,28,8,0
15/01/2023,10547,12,28,9,0
16/01/2023,10553,12,26,10,0
17/01/2023,7453,7,17,9,0
18/01/2023,8275,10,21,8,0
19/01/2023,9360,9,29,8,0
20/01/2023,8645,6,26,9,0
21/01/2023,7154,12,16,6,0
22/01/2023,7598,10,16,7,0
23/01/2023,9263,6,21,12,0
24/01/2023,8311,9,29,6,0
25/01/2023,6070,5,20,6,0
26/01/2023,9946,14,17,11,0
27/01/2023,10033,10,23,12,0
28/01/2023,11102,13,24,12,0
29/01/2023,7686,5,29,6,0
30/01/2023,11245,15,28,10,0
31/01/2023,11908,15,27,11,0
01/02/2023,10443,14,20,11,0
02/02/2023,8038,7,24,8,0
03/02/2023,10851,11,24,12,0
04/02/2023,6998,8,20,6,0
05/02/2023,8052,13,15,8,0
06/02/2023,7637,7,18,9,0
07/02/2023,8371,9,24,7,0
08/02/2023,8706,7,20,11,0
09/02/2023,10389,11,29,9,0
10/02/2023,8503,9,20,9,0
11/02/2023,10595,13,25,10,0
12/02/2023,8985,11,26,7,0
13/02/2023,7364,6,19,9,0
14/02/2023,7548,8,15,9,0
15/02/2023,9049,13,22,7,0
16/02/2023,6964,6,19,7,0
17/02/2023,10209,14,26,9,0
18/02/2023,9500,13,26,7,0
19/02/2023,10931,14,26,9,0
20/02/2023,8361,9,19,9,0
21/02/2023,6209,6,15,10,1
22/02/2023,6942,8,18,6,0
23/02/2023,9342,11,20,9,0
24/02/2023,10250,12,27,8,0
25/02/2023,7984,7,18,11,0
26/02/2023,9408,5,28,12,0
